70075,69,Red,0,1435637120,1435637189
70075,63,Red,0,1435637511,1435637574
70075,56,Red,0,1435637721,1435637777
70075,55,Red,0,1435638364,1435638419
70075,67,Red,0,1435638967,1435639034
70075,82,Red,0,1435639228,1435639310
70075,1396,Red,0,1435639656,1435641052
70075,63,Red,0,1435656905,1435656968
70075,72,Red,0,1435657368,1435657440
70075,84,Red,0,1435657663,1435657747
70075,76,Red,0,1435658091,1435658167
70075,79,Red,0,1435658537,1435658616
70075,62,Red,0,1435659127,1435659189
70075,55,Red,0,1435659571,1435659626
70075,69,Red,0,1435660284,1435660353
70075,76,Red,0,1435660879,1435660955
70075,60,Red,0,1435661099,1435661159
70075,68,Red,0,1435661269,1435661337
70075,83,Red,0,1435661437,1435661520
70075,94,Red,0,1435661642,1435661736
70075,81,Red,0,1435662167,1435662248
70075,73,Red,0,1435662353,1435662426
70075,100,Red,0,1435662535,1435662635
70075,152,Red,0,1435662715,1435662867
70075,81,Red,0,1435663030,1435663111
70075,85,Red,0,1435663380,1435663465
70075,78,Red,0,1435663582,1435663660
70075,62,Red,0,1435663790,1435663852
70075,91,Red,0,1435664047,1435664138
70075,86,Red,0,1435664315,1435664401
70075,107,Red,0,1435664537,1435664644
70075,116,Red,0,1435664734,1435664850
70075,89,Red,0,1435664971,1435665060
70075,103,Red,0,1435665146,1435665249
70075,85,Red,0,1435665327,1435665412
70075,73,Red,0,1435665534,1435665607
70075,110,Red,0,1435665917,1435666027
70075,91,Red,0,1435666153,1435666244
70075,160,Red,0,1435666529,1435666689
70075,111,Red,0,1435666834,1435666945
70075,97,Red,0,1435667091,1435667188
70075,94,Red,0,1435667318,1435667412
70075,90,Red,0,1435667496,1435667586
70075,100,Red,0,1435667693,1435667793
70075,84,Red,0,1435668003,1435668087
70075,91,Red,0,1435668189,1435668280
70075,117,Red,0,1435668376,1435668493
70075,196,Red,0,1435668654,1435668850
70075,126,Red,0,1435668935,1435669061
70075,104,Red,0,1435669165,1435669269
70075,121,Red,0,1435669361,1435669482
70075,85,Red,0,1435669570,1435669655
70075,93,Red,0,1435669751,1435669844
70075,77,Red,0,1435669933,1435670010
70075,81,Red,0,1435670116,1435670197
70075,174,Red,0,1435670315,1435670489
70075,84,Red,0,1435670705,1435670789
70075,101,Red,0,1435670914,1435671015
70075,83,Red,0,1435671096,1435671179
70075,65,Red,0,1435671268,1435671333
70075,87,Red,0,1435671670,1435671757
70075,81,Red,0,1435671848,1435671929
70075,70,Red,0,1435672198,1435672268
70075,81,Red,0,1435672369,1435672450
70075,86,Red,0,1435672788,1435672874
70075,85,Red,0,1435672983,1435673068
70075,68,Red,0,1435673187,1435673255
70075,92,Red,0,1435673409,1435673501
70075,88,Red,0,1435673619,1435673707
70075,78,Red,0,1435673813,1435673891
70075,74,Red,0,1435674061,1435674135
70075,75,Red,0,1435674267,1435674342
70075,86,Red,0,1435674604,1435674690
70075,105,Red,0,1435674804,1435674909
70075,62,Red,0,1435675034,1435675096
70075,71,Red,0,1435675295,1435675366
70075,78,Red,0,1435675717,1435675795
70075,88,Red,0,1435676172,1435676260
70075,92,Red,0,1435676525,1435676617
70075,59,Red,0,1435676764,1435676823
70075,79,Red,0,1435677353,1435677432
70075,213,Red,0,1435677600,1435677813
70075,73,Red,0,1435678049,1435678122
70075,82,Red,0,1435678567,1435678649
70075,77,Red,0,1435678766,1435678843
70075,115,Red,0,1435679263,1435679378
70075,73,Red,0,1435679555,1435679628
70075,98,Red,0,1435680115,1435680213
70075,114,Red,0,1435680683,1435680797
70075,117,Red,0,1435680877,1435680994
70075,83,Red,0,1435681164,1435681247
70075,68,Red,0,1435681468,1435681536
70075,86,Red,0,1435682127,1435682213
70075,90,Red,0,1435682383,1435682473
70075,86,Red,0,1435682895,1435682981
70075,97,Red,0,1435683212,1435683309
70075,83,Red,0,1435683680,1435683763
70075,124,Red,0,1435693243,1435693367
70075,71,Red,0,1435693453,1435693524
70075,99,Red,0,1435693811,1435693910
70075,83,Red,0,1435694084,1435694167
70075,114,Red,0,1435694547,1435694661
70075,126,Red,0,1435694775,1435694901
70075,105,Red,0,1435695149,1435695254
70075,82,Red,0,1435695350,1435695432
70075,121,Red,0,1435695828,1435695949
70075,81,Red,0,1435696034,1435696115
70075,125,Red,0,1435696392,1435696517
70075,87,Red,0,1435696613,1435696700
70075,148,Red,0,1435697003,1435697151
70075,97,Red,0,1435697219,1435697316
70075,114,Red,0,1435697486,1435697600
70075,132,Red,0,1435697682,1435697814
70075,93,Red,0,1435697930,1435698023
70075,110,Red,0,1435698123,1435698233
70075,118,Red,0,1435698319,1435698437
70075,151,Red,0,1435698738,1435698889
70075,97,Red,0,1435698964,1435699061
70075,177,Red,0,1435699341,1435699518
70075,109,Red,0,1435699589,1435699698
70075,115,Red,0,1435699903,1435700018
70075,103,Red,0,1435700119,1435700222
70075,129,Red,0,1435700394,1435700523
70075,97,Red,0,1435700739,1435700836
70075,94,Red,0,1435700937,1435701031
70075,84,Red,0,1435701134,1435701218
70075,112,Red,0,1435701326,1435701438
70075,97,Red,0,1435701606,1435701703
70075,128,Red,0,1435701796,1435701924
70075,95,Red,0,1435702097,1435702192
70075,84,Red,0,1435702374,1435702458
70075,79,Red,0,1435702569,1435702648
70075,87,Red,0,1435702770,1435702857
70075,108,Red,0,1435702960,1435703068
70075,79,Red,0,1435703245,1435703324
70075,102,Red,0,1435703440,1435703542
70075,167,Red,0,1435703891,1435704058
70075,88,Red,0,1435704182,1435704270
70075,120,Red,0,1435704380,1435704500
